City,lat,lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Mayumba,-3.432,10.6554,27.9,69,61,3.47,GA,1644058868
Zhezkazgan,47.8043,67.7144,-4.01,63,0,8.0,KZ,1644058869
Kota Kinabalu,5.9749,116.0724,28.99,74,20,1.03,MY,1644058869
Seoul,37.5683,126.9778,-4.31,44,0,3.6,KR,1644058201
Fairbanks,64.8378,-147.7164,-14.39,81,100,0.0,US,1644058869
Hengshui,37.7322,115.7011,0.92,28,37,1.84,CN,1644058870
Yerbogachën,61.2767,108.0108,-13.03,95,100,3.58,RU,1644058870
Luwingu,-10.2621,29.9271,22.79,68,100,3.01,ZM,1644058871
Beaupré,47.0443,-70.8953,-11.69,89,100,0.45,CA,1644058871
East London,-33.0153,27.9116,20.52,94,100,5.14,ZA,1644058331
Banjar,-8.19,114.9675,28.92,89,76,0.26,ID,1644058612
Vammala,61.3333,22.9,0.72,93,100,3.09,FI,1644058872
Nouadhibou,20.931,-17.0347,19.23,62,0,4.83,MR,1644058872
Tocopilla,-22.092,-70.1979,20.11,70,6,3.15,CL,1644058873
Nola,40.922,14.5329,17.06,58,91,0.64,IT,1644058873
Hermanus,-34.4187,19.2345,34.39,46,1,8.21,ZA,1644058333
Tabory,58.5198,64.5495,-3.38,92,100,2.14,RU,1644058874
Kyabram,-36.3167,145.05,23.26,36,38,4.7,AU,1644058874
Maniitsoq,65.4167,-52.9,-13.77,80,100,8.01,GL,1644058874
Burgeo,47.6167,-57.6152,-2.66,88,100,7.92,CA,1644058874
Shubarkuduk,49.1447,56.4872,-1.17,89,99,5.62,KZ,1644058875
Bilibino,68.0546,166.4372,-24.02,98,6,2.28,RU,1644058343
Los Baños,14.1667,121.1833,27.27,77,77,5.76,PH,1644058785
Jumla,29.2747,82.1838,5.38,59,58,2.49,NP,1644058875
Touros,-5.1989,-35.4608,28.75,60,9,5.99,BR,1644058862
Pahrump,36.2083,-115.9839,6.14,34,0,0.83,US,1644058875
Constitución,-35.3333,-72.4167,15.1,74,1,2.99,CL,1644058876
Gornyy,55.1153,83.9059,-10.3,84,99,3.91,RU,1644058876
Huilong,31.8111,121.655,5.02,54,31,6.21,CN,1644058876
Esim,4.8699,-2.2405,30.56,62,7,1.78,GH,1644058876
San Miguel,13.4833,-88.1833,21.97,72,43,1.64,SV,1644058876
Puno,-15.8333,-70.0333,5.04,78,99,1.46,PE,1644058876
Segovia,41.1667,-4.0,8.79,67,52,4.62,ES,1644058877
Paamiut,61.994,-49.6678,-19.37,86,75,4.41,GL,1644058877
Honiara,-9.4333,159.95,26.5,87,53,1.29,SB,1644058877
Inverell,-29.7833,151.1167,17.59,68,40,3.58,AU,1644058696
Vieste,41.8825,16.175,12.92,70,52,1.48,IT,1644058877
Abrau-Dyurso,44.69,37.59,-0.29,57,73,3.89,RU,1644058878
Xining,36.6167,101.7667,-8.4,67,100,2.91,CN,1644058647
Katsuura,35.1333,140.3,3.44,40,90,6.43,JP,1644058337
Shenjiamen,29.9576,122.298,4.4,63,6,8.51,CN,1644058878
Cabedelo,-6.9811,-34.8339,27.86,62,5,4.78,BR,1644058878
Mahébourg,-20.4081,57.7,29.16,74,75,9.26,MU,1644058353
Ayan,56.45,138.1667,-18.77,69,100,6.41,RU,1644058879
Mar del Plata,-38.0023,-57.5575,20.61,86,100,7.6,AR,1644058342
Philadelphia,39.9523,-75.1638,-2.51,72,98,1.79,US,1644058863
Balyqshy,47.0667,51.8667,1.0,93,75,11.0,KZ,1644058584
Sitka,57.0531,-135.33,3.94,87,100,3.6,US,1644058879
Sargatskoye,55.6101,73.4972,-6.86,84,100,3.25,RU,1644058880
Panguna,-6.3164,155.4848,22.54,94,83,0.84,PG,1644058880
Midland,31.9974,-102.0779,-4.25,68,0,3.09,US,1644058665
